name,win_percentage,passing_yards_per_attempt,completion_percentage,td-to-int-ratio,rush-to-pass-ratio,yards_per_carry
A.J. Feeley,42.55,6.2,57.66,0.94,0.056,2.0
Aaron Rodgers,62.24,7.89,65.15,4.27,0.101,5.26
AJ McCarron,50.0,7.1,64.0,3.67,0.102,2.64
Alex Smith,56.22,6.72,61.51,1.69,0.111,4.69
Alex Tanney,46.67,6.79,64.81,1.25,0.08,2.15
Alex Van Pelt,33.33,6.15,54.67,0.68,0.072,2.11
Andre Ware,37.5,6.63,51.18,0.56,0.241,5.85
Andrew Luck,56.38,7.24,59.56,1.81,0.103,5.13
Andrew Walter,34.48,5.88,54.62,0.26,0.063,2.37
Andy Dalton,55.83,7.15,62.29,1.62,0.099,3.22
Anthony Dilweg,30.0,6.6,52.85,1.14,0.109,5.43
Archie Manning,26.0,6.55,55.33,0.72,0.103,5.72
Art Schlichter,7.69,4.98,45.05,0.27,0.109,7.32
Babe Laufenberg,25.0,5.01,44.08,0.45,0.156,3.82
Ben Roethlisberger,64.73,7.92,64.15,1.81,0.072,2.99
Bernie Kosar,50.37,6.97,59.14,1.46,0.054,1.49
Bill Kenney,44.86,7.04,54.28,1.19,0.05,1.55
Bill Nelsen,53.12,6.84,51.59,0.64,0.033,-1.26
Billy Joe Tolliver,32.91,6.3,52.2,0.92,0.058,3.23
Billy Kilmer,60.4,6.76,53.32,1.22,0.041,1.84
Billy Volek,55.88,6.78,60.11,1.73,0.078,0.5
Blaine Gabbert,26.98,5.95,56.29,1.15,0.116,3.74
Blair Kiel,24.0,6.72,55.96,1.14,0.083,6.56
Blake Bortles,25.0,6.73,59.32,1.45,0.095,6.52
Bobby Scott,24.39,5.56,47.4,0.54,0.06,2.47
Bob Davis,43.33,4.62,39.55,1.09,0.164,7.14
Bob Gagliano,48.48,7.06,51.23,0.63,0.191,3.78
Bob Lee,69.12,6.79,50.13,0.7,0.123,2.16
Boomer Esiason,46.63,7.26,56.95,1.33,0.088,3.65
Brad Johnson,59.11,6.7,61.6,1.29,0.063,2.35
Brady Quinn,32.65,5.91,56.33,0.88,0.081,3.69
Brandon Weeden,42.0,6.7,57.91,1.06,0.061,3.34
Brent Pease,54.55,5.87,45.93,0.33,0.17,1.35
Brett Favre,61.78,7.09,61.84,1.51,0.059,2.91
Brett Ratliff,57.14,6.43,54.94,0.56,0.074,2.0
Brian Hoyer,50.0,7.04,58.84,1.42,0.063,1.5
Brock Osweiler,68.42,6.35,60.25,1.12,0.095,3.26
Browning Nagle,25.0,5.7,48.74,0.4,0.059,2.62
Bruce Mathison,22.22,7.05,49.19,0.35,0.11,7.21
Bryce Petty,30.77,6.62,57.26,0.88,0.038,2.11
Bucky Richardson,37.5,6.79,52.43,1.0,0.178,6.82
Byron Leftwich,53.01,6.56,57.48,1.52,0.083,3.14
Caleb Hanie,38.71,6.56,56.08,0.67,0.099,5.78
Cam Newton,53.78,7.34,57.66,1.65,0.228,5.12
Carson Palmer,48.1,7.31,62.18,1.52,0.045,1.72
Carson Wentz,47.06,6.13,61.97,1.07,0.078,3.37
Case Keenum,43.18,6.71,59.09,1.32,0.077,2.72
Casey Weldon,38.46,5.94,50.0,0.25,0.1,0.0
Chad Henne,39.18,6.56,59.42,0.94,0.062,2.88
Chad Pennington,52.63,7.13,65.42,1.59,0.071,2.76
Chandler Harnish,33.33,5.47,52.53,1.25,0.139,2.59
Charley Johnson,41.89,7.0,52.58,0.87,0.024,0.61
Charlie Batch,54.29,6.98,57.4,1.22,0.104,3.58
Chase Daniel,65.91,7.05,65.26,1.92,0.154,4.42
Chris Chandler,40.21,7.1,57.97,1.16,0.093,3.55
Chris Redman,52.73,6.12,58.48,1.14,0.08,1.08
Christian Ponder,40.35,6.39,60.02,1.07,0.134,5.05
Chris Weinke,36.84,5.4,54.81,0.57,0.075,2.85
Cleo Lemon,38.46,6.0,59.03,1.38,0.087,3.09
Cody Carlson,60.87,6.7,55.78,0.79,0.123,2.81
Cody Kessler,7.69,6.6,65.92,3.5,0.054,1.58
Colin Kaepernick,54.74,7.23,59.21,2.08,0.226,6.86
Colt McCoy,53.33,6.87,62.36,1.24,0.143,3.71
Connor Cook,16.67,5.57,51.64,0.29,0.008,12.0
Craig Erickson,34.62,6.98,54.12,1.08,0.071,2.61
Craig Nall,55.56,7.68,56.16,4.5,0.116,1.29
Craig Penrose,72.22,6.08,47.01,0.42,0.06,3.0
Craig Whelihan,10.53,5.67,47.94,0.48,0.056,2.16
Curtis Painter,25.0,6.09,53.57,0.75,0.056,3.0
Dak Prescott,70.0,8.09,68.37,6.2,0.121,5.27
Dan Fouts,49.21,7.67,58.68,1.01,0.04,1.98
Dan Marino,59.92,7.28,59.12,1.64,0.035,0.27
Danny Kanell,37.21,5.43,51.21,0.94,0.045,0.95
Dan Orlovsky,36.92,6.43,58.38,1.0,0.036,1.33
Dan Pastorini,43.45,6.16,51.27,0.64,0.069,3.07
Daryle Lamonica,67.92,6.95,48.42,1.02,0.03,2.14
Dave Mays,33.33,6.01,51.28,0.64,0.058,1.78
David Archer,35.19,6.65,51.12,0.63,0.208,5.16
David Carr,37.8,6.42,59.93,1.01,0.129,4.35
David Garrard,49.57,7.11,61.47,1.58,0.165,4.78
David Klingler,15.15,5.56,54.18,0.73,0.103,6.16
Dennis Shaw,29.17,6.9,52.87,0.45,0.101,4.26
Derek Anderson,49.11,6.63,54.86,1.06,0.059,2.18
Derek Carr,47.37,6.51,60.87,2.38,0.056,2.97
Dominique Davis,10.0,6.2,55.48,0.71,0.123,6.61
Don Majkowski,46.67,6.7,55.58,0.99,0.13,4.49
Doug Flutie,51.52,6.87,54.53,1.24,0.155,4.86
Doug Johnson,47.37,6.93,58.69,0.88,0.082,1.89
Doug Pederson,56.36,5.42,55.24,0.74,0.117,1.97
Drew Brees,54.98,7.57,66.57,2.23,0.046,1.77
Drew Stanton,59.68,6.63,54.59,1.16,0.142,4.07
Edd Hargett,17.95,6.09,45.4,1.11,0.027,3.44
EJ Manuel,42.86,6.48,59.4,1.56,0.146,3.81
Eli Manning,54.51,7.0,59.53,1.5,0.041,1.84
Eric Zeier,39.29,6.55,56.05,1.07,0.08,2.95
Frank Reich,59.85,6.62,55.5,1.21,0.098,0.74
Fran Tarkenton,63.85,6.88,59.02,1.15,0.072,3.97
Gale Gilbert,56.45,5.94,56.23,0.69,0.094,1.12
Garrett Grayson,0.0,5.72,53.08,0.33,0.046,4.83
Gary Danielson,49.5,7.1,57.25,0.99,0.097,4.64
Gary Marangi,15.79,4.85,36.75,0.57,0.177,6.56
Geno Smith,38.1,6.83,58.16,0.76,0.149,4.82
Gibran Hamdan,41.67,7.01,64.15,0.25,0.028,9.33
Gifford Nielsen,48.39,6.48,54.79,0.88,0.061,3.06
Glenn Foley,42.86,6.46,54.19,0.75,0.05,1.68
Graham Harrell,61.11,5.47,57.14,1.25,0.116,2.23
Greg Landry,42.75,7.13,56.38,1.07,0.182,6.05
J.T. O'Sullivan,50.0,7.45,58.12,0.77,0.112,4.04
Jack Thompson,41.51,6.3,53.19,0.73,0.083,3.74
Jake Delhomme,57.46,7.2,59.67,1.3,0.06,1.84
Jameis Winston,48.72,7.42,59.09,1.56,0.098,3.61
James Harris,60.71,7.09,52.77,0.75,0.103,3.11
Jamie Martin,53.85,7.04,66.16,0.84,0.073,0.46
Jared Goff,18.18,5.2,52.76,0.78,0.059,1.53
Jason Campbell,40.98,6.67,60.31,1.42,0.09,5.06
Jason Garrett,57.45,7.05,57.28,2.4,0.124,0.35
Jay Cutler,49.43,7.24,61.78,1.45,0.082,4.55
Jay Fiedler,61.18,6.82,58.37,0.92,0.125,4.01
Jay Schroeder,57.14,7.03,50.51,1.03,0.086,3.15
Jeff Carlson,0.0,5.58,42.98,0.22,0.149,3.35
Jeff Garcia,45.64,6.87,61.08,1.78,0.122,4.55
Jeff George,36.57,6.98,57.84,1.41,0.042,1.83
Jeff Kemp,54.55,6.77,52.38,1.0,0.114,4.19
Jeff Komlo,32.0,5.96,49.89,0.43,0.087,3.18
Jerry Golsteyn,33.33,4.96,42.4,0.15,0.046,-0.4
Jerry Rhome,40.0,5.57,47.65,0.33,0.054,3.12
Jerry Tagge,50.0,5.63,48.4,0.18,0.146,2.85
Jesse Palmer,38.46,6.03,54.73,0.83,0.055,3.73
Jim Everett,40.85,7.05,57.48,1.13,0.053,2.38
Jim Harbaugh,46.99,6.66,58.45,1.09,0.145,4.91
Jim Hart,45.83,6.76,51.74,0.88,0.027,1.21
Jim Kelly,62.57,7.4,60.06,1.28,0.066,3.45
Jimmy Garoppolo,78.57,7.39,67.1,4.33,0.134,1.22
Jim Zorn,46.9,6.69,52.97,0.79,0.102,4.66
