name,win_percentage,Cluster
Mike Pagel,0.3481,0
Pete Beathard,0.4706,0
Mike Taliaferro,0.1875,0
Mike Rae,0.5806,0
Mike Phipps,0.5083,0
Mike Kafka,0.5455,0
Chandler Harnish,0.3333,0
Matt Kofler,0.3171,0
Kyle Mackey,0.1429,0
Kurt Kittner,0.5,0
Koy Detmer,0.6129,0
Kent Nix,0.2381,0
Connor Cook,0.1667,0
Jonathan Quinn,0.5714,0
John Reaves,0.3922,0
Browning Nagle,0.25,0
Craig Penrose,0.7222,0
John Navarre,0.2,0
Joe Reed,0.44,0
Joe Pisarcik,0.4754,0
Joe Kapp,0.0909,0
Joe Gilliam,0.75,0
Jerry Tagge,0.5,0
David Klingler,0.1515,0
Jerry Rhome,0.4,0
Jerry Golsteyn,0.3333,0
Jeff Komlo,0.32,0
Jeff Carlson,0.0,0
Jared Goff,0.1818,0
Edd Hargett,0.1795,0
Gary Marangi,0.1579,0
Craig Whelihan,0.1053,0
Rick Arrington,0.25,0
Garrett Grayson,0.0,0
Stoney Case,0.35,0
Scott Zolak,0.5172,0
Bob Davis,0.4333,0
Tom Ramsey,0.5714,0
Tyler Thigpen,0.2353,0
Ryan Leaf,0.16,0
Stan Gelbaugh,0.2,0
Bobby Scott,0.2439,0
Tom Flick,0.381,0
Art Schlichter,0.0769,0
Rusty Lisch,0.4516,0
Steve Pisarkiewicz,0.3,0
Babe Laufenberg,0.25,0
Terry Hanratty,0.5556,0
Brent Pease,0.5455,0
Jim Zorn,0.469,1
Jim Harbaugh,0.4699,1
Joe Theismann,0.6257,1
Tim Tebow,0.4444,1
Tony Eason,0.5474,1
Tyler Palko,0.2,1
Turk Schonert,0.5395,1
John Elway,0.6395,1
Jeff Kemp,0.5455,1
Jeff Garcia,0.4564,1
Jay Fiedler,0.6118,1
Jason Campbell,0.4098,1
Tyrod Taylor,0.6119,1
J.T. O'Sullivan,0.5,1
Vince Evans,0.4257,1
Greg Landry,0.4275,1
Gibran Hamdan,0.4167,1
Geno Smith,0.381,1
Vince Young,0.5376,1
Trent Edwards,0.3934,1
John Fourcade,0.52,1
Robert Griffin III,0.3818,1
Johnny Manziel,0.2,1
Rich Gannon,0.5657,1
Rodney Peete,0.5315,1
Randy Johnson,0.2727,1
Quincy Carter,0.5581,1
Paxton Lynch,0.5714,1
Pat Haden,0.6143,1
Norris Weese,0.6613,1
Mike Vick,0.5307,1
Ryan Fitzpatrick,0.3976,1
Scott Secules,0.5254,1
Gary Danielson,0.495,1
Thad Lewis,0.4815,1
Scott Tolzien,0.5172,1
Matt Cavanaugh,0.5603,1
Matt Cassel,0.4631,1
Luke McCown,0.45,1
Seneca Wallace,0.4255,1
Shaun King,0.5854,1
Kevin Kolb,0.5263,1
Ken Anderson,0.5224,1
Josh McCown,0.2759,1
Steve Pelluer,0.4308,1
Rob Johnson,0.4815,1
Tarvaris Jackson,0.6129,1
Matt Simms,0.4706,1
Joe Webb,0.4808,1
Virgil Carter,0.4651,1
Fran Tarkenton,0.6385,1
Dominique Davis,0.1,1
Dennis Shaw,0.2917,1
David Garrard,0.4957,1
Blair Kiel,0.24,1
David Carr,0.378,1
Blake Bortles,0.25,1
David Archer,0.3519,1
Boomer Esiason,0.4663,1
Bruce Mathison,0.2222,1
Bucky Richardson,0.375,1
Caleb Hanie,0.3871,1
Cam Newton,0.5378,1
Charlie Batch,0.5429,1
